corpusid,authors,publicationvenueid,year
207393142,"[{'authorId': '4075373', 'url': 'https://www.semanticscholar.org/author/4075373', 'name': 'M. Donaldson', 'affiliations': [], 'homepage': None, 'paperCount': 88, 'citationCount': 701, 'hIndex': 15}, {'authorId': '7308423', 'url': 'https://www.semanticscholar.org/author/7308423', 'name': 'J. Goodchild', 'affiliations': [], 'homepage': None, 'paperCount': 74, 'citationCount': 496, 'hIndex': 11}, {'authorId': '40638151', 'url': 'https://www.semanticscholar.org/author/40638151', 'name': 'Jane Ziegler', 'affiliations': [], 'homepage': None, 'paperCount': 75, 'citationCount': 230, 'hIndex': 8}]",137df871-0be4-4ea4-9f85-52b2b36070a3,2014
226193169,"[{'authorId': '144056379', 'url': 'https://www.semanticscholar.org/author/144056379', 'name': 'Satoshi Watanabe', 'affiliations': [], 'homepage': None, 'paperCount': 102, 'citationCount': 2174, 'hIndex': 12}, {'authorId': '70117134', 'url': 'https://www.semanticscholar.org/author/70117134', 'name': 'S. Kotsuki', 'affiliations': [], 'homepage': None, 'paperCount': 82, 'citationCount': 383, 'hIndex': 13}, {'authorId': '2032223', 'url': 'https://www.semanticscholar.org/author/2032223', 'name': 'S. Kanae', 'affiliations': [], 'homepage': None, 'paperCount': 370, 'citationCount': 21331, 'hIndex': 55}, {'authorId': '145632198', 'url': 'https://www.semanticscholar.org/author/145632198', 'name': 'Kenji Tanaka', 'affiliations': [], 'homepage': None, 'paperCount': 172, 'citationCount': 2921, 'hIndex': 22}, {'authorId': '49783256', 'url': 'https://www.semanticscholar.org/author/49783256', 'name': 'A. Higuchi', 'affiliations': [], 'homepage': None, 'paperCount': 94, 'citationCount': 546, 'hIndex': 14}]",f99f77b7-b1b6-44d3-984a-f288e9884b9b,2020
221076729,"[{'authorId': '2108215740', 'url': 'https://www.semanticscholar.org/author/2108215740', 'name': 'Soo-Young Lee', 'affiliations': [], 'homepage': None, 'paperCount': 10, 'citationCount': 48, 'hIndex': 4}, {'authorId': '7023574', 'url': 'https://www.semanticscholar.org/author/7023574', 'name': 'Y. Koo', 'affiliations': [], 'homepage': None, 'paperCount': 61, 'citationCount': 742, 'hIndex': 17}, {'authorId': '150077879', 'url': 'https://www.semanticscholar.org/author/150077879', 'name': 'Dae-Hyung Lee', 'affiliations': [], 'homepage': None, 'paperCount': 29, 'citationCount': 120, 'hIndex': 6}]",b5d743df-8523-464c-a1f4-10ead6be30a6,2020
203609021,"[{'authorId': '14469286', 'url': 'https://www.semanticscholar.org/author/14469286', 'name': 'H. Javanmardi', 'affiliations': [], 'homepage': None, 'paperCount': 8, 'citationCount': 83, 'hIndex': 4}, {'authorId': '39904764', 'url': 'https://www.semanticscholar.org/author/39904764', 'name': 'A. Abbasi', 'affiliations': [], 'homepage': None, 'paperCount': 205, 'citationCount': 2240, 'hIndex': 27}, {'authorId': '14489464', 'url': 'https://www.semanticscholar.org/author/14489464', 'name': 'H. Bagheri', 'affiliations': [], 'homepage': None, 'paperCount': 159, 'citationCount': 4764, 'hIndex': 40}]",8f99db2e-5ab5-462f-829a-8eeced9b7be1,2020
210934409,"[{'authorId': '49981137', 'url': 'https://www.semanticscholar.org/author/49981137', 'name': 'Tong Wang', 'affiliations': [], 'homepage': None, 'paperCount': 41, 'citationCount': 318, 'hIndex': 10}, {'authorId': '46453254', 'url': 'https://www.semanticscholar.org/author/46453254', 'name': 'Hailong Jin', 'affiliations': [], 'homepage': None, 'paperCount': 30, 'citationCount': 123, 'hIndex': 6}, {'authorId': '6374222', 'url': 'https://www.semanticscholar.org/author/6374222', 'name': 'U. Kreuter', 'affiliations': [], 'homepage': None, 'paperCount': 107, 'citationCount': 3280, 'hIndex': 32}, {'authorId': '3979665', 'url': 'https://www.semanticscholar.org/author/3979665', 'name': 'H. Feng', 'affiliations': [], 'homepage': None, 'paperCount': 115, 'citationCount': 1348, 'hIndex': 21}, {'authorId': '49967823', 'url': 'https://www.semanticscholar.org/author/49967823', 'name': 'D. Hennessy', 'affiliations': [], 'homepage': None, 'paperCount': 286, 'citationCount': 4774, 'hIndex': 33}, {'authorId': '46667806', 'url': 'https://www.semanticscholar.org/author/46667806', 'name': 'R. Teague', 'affiliations': [], 'homepage': None, 'paperCount': 39, 'citationCount': 713, 'hIndex': 13}, {'authorId': '48744889', 'url': 'https://www.semanticscholar.org/author/48744889', 'name': 'Yuyuan Che', 'affiliations': [], 'homepage': None, 'paperCount': 13, 'citationCount': 58, 'hIndex': 3}]",ed779cb8-b256-4933-85c7-2ca9868bb58b,2020
85151175,"[{'authorId': '145585059', 'url': 'https://www.semanticscholar.org/author/145585059', 'name': 'K. Phillips', 'affiliations': [], 'homepage': None, 'paperCount': 395, 'citationCount': 326, 'hIndex': 6}]",5fb10eaf-a09b-4e33-a397-37d9210767e5,2004
75791365,"[{'authorId': '5082872', 'url': 'https://www.semanticscholar.org/author/5082872', 'name': 'A. Lanzavecchia', 'affiliations': [], 'homepage': None, 'paperCount': 507, 'citationCount': 111265, 'hIndex': 153}]",552d0a68-9aa4-4518-b8c4-666b3d9e0fef,2014
237561766,"[{'authorId': '2205810468', 'url': 'https://www.semanticscholar.org/author/2205810468', 'name': 'Nguyen Cuong Nam', 'affiliations': [], 'homepage': None, 'paperCount': 2, 'citationCount': 0, 'hIndex': 0}]",cf33e1f1-4e08-40d3-89b4-ca4ff2b66125,2020
46711191,"[{'authorId': '2070396817', 'url': 'https://www.semanticscholar.org/author/2070396817', 'name': 'P. Nichols', 'affiliations': [], 'homepage': None, 'paperCount': 11, 'citationCount': 47, 'hIndex': 4}]",e2716c6a-50f4-4a85-be07-a76de507f09a,2013
52298978,"[{'authorId': '51302372', 'url': 'https://www.semanticscholar.org/author/51302372', 'name': 'K. Mutter', 'affiliations': [], 'homepage': None, 'paperCount': 20, 'citationCount': 22, 'hIndex': 3}]",22fa9d61-53c5-41ed-9de0-f4d601bc7347,2018
22238059,"[{'authorId': '9198791', 'url': 'https://www.semanticscholar.org/author/9198791', 'name': 'Priyanka A. Wagh', 'affiliations': [], 'homepage': None, 'paperCount': 4, 'citationCount': 23, 'hIndex': 2}, {'authorId': '39984458', 'url': 'https://www.semanticscholar.org/author/39984458', 'name': 'Rohit R. Pawar', 'affiliations': [], 'homepage': None, 'paperCount': 6, 'citationCount': 47, 'hIndex': 3}, {'authorId': '2473130', 'url': 'https://www.semanticscholar.org/author/2473130', 'name': 'S. Nalbalwar', 'affiliations': [], 'homepage': None, 'paperCount': 167, 'citationCount': 774, 'hIndex': 15}]",,2017
14154659,"[{'authorId': '2132914', 'url': 'https://www.semanticscholar.org/author/2132914', 'name': 'E. Che', 'affiliations': [], 'homepage': None, 'paperCount': 13, 'citationCount': 174, 'hIndex': 4}, {'authorId': '1751136', 'url': 'https://www.semanticscholar.org/author/1751136', 'name': 'H. Tuan', 'affiliations': [], 'homepage': None, 'paperCount': 355, 'citationCount': 8818, 'hIndex': 46}, {'authorId': '1693287', 'url': 'https://www.semanticscholar.org/author/1693287', 'name': 'Ha H. Nguyen', 'affiliations': [], 'homepage': None, 'paperCount': 305, 'citationCount': 3594, 'hIndex': 28}]",0d6f7fba-7092-46b3-8039-93458dba736b,2012
14151582,"[{'authorId': '1769111', 'url': 'https://www.semanticscholar.org/author/1769111', 'name': 'A. Millonig', 'affiliations': [], 'homepage': None, 'paperCount': 52, 'citationCount': 756, 'hIndex': 15}, {'authorId': '2483983', 'url': 'https://www.semanticscholar.org/author/2483983', 'name': 'G. Maierbrugger', 'affiliations': [], 'homepage': None, 'paperCount': 5, 'citationCount': 9, 'hIndex': 2}, {'authorId': '2076511886', 'url': 'https://www.semanticscholar.org/author/2076511886', 'name': 'Eva Favry', 'affiliations': [], 'homepage': None, 'paperCount': 3, 'citationCount': 8, 'hIndex': 2}]",,2010
21990474,"[{'authorId': '4266258', 'url': 'https://www.semanticscholar.org/author/4266258', 'name': 'F. Mensonides', 'affiliations': [], 'homepage': None, 'paperCount': 20, 'citationCount': 805, 'hIndex': 10}, {'authorId': '4973703', 'url': 'https://www.semanticscholar.org/author/4973703', 'name': 'S. Brul', 'affiliations': [], 'homepage': None, 'paperCount': 268, 'citationCount': 9414, 'hIndex': 49}, {'authorId': '4323974', 'url': 'https://www.semanticscholar.org/author/4323974', 'name': 'K. Hellingwerf', 'affiliations': [], 'homepage': None, 'paperCount': 427, 'citationCount': 17262, 'hIndex': 72}, {'authorId': '32210047', 'url': 'https://www.semanticscholar.org/author/32210047', 'name': 'Barbara M. Bakker', 'affiliations': ['University of Groningen'], 'homepage': 'https://www.rug.nl/staff/b.m.bakker/', 'paperCount': 154, 'citationCount': 9511, 'hIndex': 43}, {'authorId': '8183327', 'url': 'https://www.semanticscholar.org/author/8183327', 'name': 'M. J. Teixeira de Mattos', 'affiliations': [], 'homepage': None, 'paperCount': 53, 'citationCount': 2886, 'hIndex': 30}]",7946ed64-b41c-474b-bcba-636664f5df02,2014
19653587,"[{'authorId': '14108732', 'url': 'https://www.semanticscholar.org/author/14108732', 'name': 'L. Stanislavchuk', 'affiliations': [], 'homepage': None, 'paperCount': 12, 'citationCount': 1, 'hIndex': 1}]",,2015
19904885,"[{'authorId': '2090906062', 'url': 'https://www.semanticscholar.org/author/2090906062', 'name': 'R. V. Isakov', 'affiliations': [], 'homepage': None, 'paperCount': 14, 'citationCount': 8, 'hIndex': 2}, {'authorId': '1383476181', 'url': 'https://www.semanticscholar.org/author/1383476181', 'name': 'M. Mabrouk', 'affiliations': [], 'homepage': None, 'paperCount': 4, 'citationCount': 3, 'hIndex': 1}, {'authorId': '6457088', 'url': 'https://www.semanticscholar.org/author/6457088', 'name': 'L. T. Sushkova', 'affiliations': [], 'homepage': None, 'paperCount': 32, 'citationCount': 47, 'hIndex': 4}]",aad0109f-b446-4b8b-b2fe-6356f8a8bf44,2011
1237780,"[{'authorId': '2061721570', 'url': 'https://www.semanticscholar.org/author/2061721570', 'name': 'H. Yoshikawa', 'affiliations': [], 'homepage': None, 'paperCount': 38, 'citationCount': 109, 'hIndex': 6}, {'authorId': '144495747', 'url': 'https://www.semanticscholar.org/author/144495747', 'name': 'I. Oka', 'affiliations': [], 'homepage': None, 'paperCount': 154, 'citationCount': 466, 'hIndex': 11}, {'authorId': '145225043', 'url': 'https://www.semanticscholar.org/author/145225043', 'name': 'C. Fujiwara', 'affiliations': [], 'homepage': None, 'paperCount': 54, 'citationCount': 82, 'hIndex': 4}]",dde2f643-6f46-48ec-82a6-6f398b3b0d0b,2005
19966672,"[{'authorId': '1476162861', 'url': 'https://www.semanticscholar.org/author/1476162861', 'name': 'Hyun-Chulchoi', 'affiliations': [], 'homepage': None, 'paperCount': 1, 'citationCount': 0, 'hIndex': 0}, {'authorId': '2109583730', 'url': 'https://www.semanticscholar.org/author/2109583730', 'name': 'Se-Yun Kim', 'affiliations': [], 'homepage': None, 'paperCount': 100, 'citationCount': 429, 'hIndex': 11}, {'authorId': '9084816', 'url': 'https://www.semanticscholar.org/author/9084816', 'name': 'J. Ra', 'affiliations': [], 'homepage': None, 'paperCount': 134, 'citationCount': 642, 'hIndex': 12}]",,1989
7211558,"[{'authorId': '5538696', 'url': 'https://www.semanticscholar.org/author/5538696', 'name': 'Kamila Lenkiewicz', 'affiliations': [], 'homepage': None, 'paperCount': 5, 'citationCount': 29, 'hIndex': 3}, {'authorId': '3581519', 'url': 'https://www.semanticscholar.org/author/3581519', 'name': 'Tomasz Srebnicki', 'affiliations': [], 'homepage': None, 'paperCount': 18, 'citationCount': 48, 'hIndex': 4}, {'authorId': '4853679', 'url': 'https://www.semanticscholar.org/author/4853679', 'name': 'A. Bryńska', 'affiliations': [], 'homepage': None, 'paperCount': 50, 'citationCount': 275, 'hIndex': 8}]",f498f529-8b18-4bdb-93a9-f3123a14a833,2016
10241326,"[{'authorId': '115420782', 'url': 'https://www.semanticscholar.org/author/115420782', 'name': 'G. Rey Vázquez', 'affiliations': [], 'homepage': None, 'paperCount': 10, 'citationCount': 444, 'hIndex': 8}, {'authorId': '32600482', 'url': 'https://www.semanticscholar.org/author/32600482', 'name': 'F. Meijide', 'affiliations': [], 'homepage': None, 'paperCount': 29, 'citationCount': 661, 'hIndex': 13}, {'authorId': '115389359', 'url': 'https://www.semanticscholar.org/author/115389359', 'name': 'F. L. Lo Nostro', 'affiliations': [], 'homepage': None, 'paperCount': 42, 'citationCount': 899, 'hIndex': 19}]",18bd75fb-03db-4a15-ba44-fe2fecdef51b,2016
8160903,"[{'authorId': '2002682', 'url': 'https://www.semanticscholar.org/author/2002682', 'name': 'K. Uchida', 'affiliations': [], 'homepage': None, 'paperCount': 293, 'citationCount': 3583, 'hIndex': 31}, {'authorId': '144051660', 'url': 'https://www.semanticscholar.org/author/144051660', 'name': 'C. Miki', 'affiliations': [], 'homepage': None, 'paperCount': 255, 'citationCount': 5040, 'hIndex': 37}, {'authorId': '6478620', 'url': 'https://www.semanticscholar.org/author/6478620', 'name': 'M. Inoue', 'affiliations': [], 'homepage': None, 'paperCount': 146, 'citationCount': 1176, 'hIndex': 20}, {'authorId': '1767672', 'url': 'https://www.semanticscholar.org/author/1767672', 'name': 'K. Otake', 'affiliations': [], 'homepage': None, 'paperCount': 84, 'citationCount': 702, 'hIndex': 16}, {'authorId': '3391776', 'url': 'https://www.semanticscholar.org/author/3391776', 'name': 'S. Yoshiyama', 'affiliations': [], 'homepage': None, 'paperCount': 86, 'citationCount': 1225, 'hIndex': 21}, {'authorId': '6828850', 'url': 'https://www.semanticscholar.org/author/6828850', 'name': 'T. Araki', 'affiliations': [], 'homepage': None, 'paperCount': 224, 'citationCount': 2637, 'hIndex': 28}, {'authorId': '2111047263', 'url': 'https://www.semanticscholar.org/author/2111047263', 'name': 'Hideki Watanabe', 'affiliations': [], 'homepage': None, 'paperCount': 82, 'citationCount': 367, 'hIndex': 13}, {'authorId': '6079547', 'url': 'https://www.semanticscholar.org/author/6079547', 'name': 'Y. Okita', 'affiliations': [], 'homepage': None, 'paperCount': 139, 'citationCount': 1090, 'hIndex': 18}, {'authorId': '3214309', 'url': 'https://www.semanticscholar.org/author/3214309', 'name': 'M. Kusunoki', 'affiliations': [], 'homepage': None, 'paperCount': 799, 'citationCount': 14552, 'hIndex': 57}]",3687d0a0-e583-4c86-b239-50d545661574,2008
238814041,"[{'authorId': '27016132', 'url': 'https://www.semanticscholar.org/author/27016132', 'name': 'H. Jiao', 'affiliations': [], 'homepage': None, 'paperCount': 38, 'citationCount': 340, 'hIndex': 10}, {'authorId': '41154933', 'url': 'https://www.semanticscholar.org/author/41154933', 'name': 'Tao Wang', 'affiliations': ['nanjing university of science and technology'], 'homepage': None, 'paperCount': 628, 'citationCount': 2949, 'hIndex': 26}, {'authorId': '2148474588', 'url': 'https://www.semanticscholar.org/author/2148474588', 'name': 'Heli Gao', 'affiliations': None, 'homepage': None, 'paperCount': None, 'citationCount': None, 'hIndex': None}, {'authorId': '34732151', 'url': 'https://www.semanticscholar.org/author/34732151', 'name': 'Lishuang Feng', 'affiliations': [], 'homepage': None, 'paperCount': 169, 'citationCount': 879, 'hIndex': 16}, {'authorId': '2153230035', 'url': 'https://www.semanticscholar.org/author/2153230035', 'name': 'Honghao Ma', 'affiliations': [], 'homepage': None, 'paperCount': 17, 'citationCount': 62, 'hIndex': 3}]",70cd7ad3-6635-4b16-8dce-7ef15977ebdb,2021
201836678,"[{'authorId': '50042010', 'url': 'https://www.semanticscholar.org/author/50042010', 'name': 'X. Gu', 'affiliations': [], 'homepage': None, 'paperCount': 8, 'citationCount': 75, 'hIndex': 3}, {'authorId': '2156089125', 'url': 'https://www.semanticscholar.org/author/2156089125', 'name': 'H. J. Chen', 'affiliations': [], 'homepage': None, 'paperCount': 3, 'citationCount': 1, 'hIndex': 1}, {'authorId': '1491070985', 'url': 'https://www.semanticscholar.org/author/1491070985', 'name': 'X. M. Chen', 'affiliations': [], 'homepage': None, 'paperCount': 6, 'citationCount': 52, 'hIndex': 2}, {'authorId': '2148820827', 'url': 'https://www.semanticscholar.org/author/2148820827', 'name': 'T. Xu', 'affiliations': [], 'homepage': None, 'paperCount': 7, 'citationCount': 7, 'hIndex': 2}, {'authorId': '10749545', 'url': 'https://www.semanticscholar.org/author/10749545', 'name': 'Z. Qiu', 'affiliations': [], 'homepage': None, 'paperCount': 15, 'citationCount': 107, 'hIndex': 5}, {'authorId': '2107630264', 'url': 'https://www.semanticscholar.org/author/2107630264', 'name': 'L. Q. Wu', 'affiliations': [], 'homepage': None, 'paperCount': 2, 'citationCount': 3, 'hIndex': 1}, {'authorId': '2054963183', 'url': 'https://www.semanticscholar.org/author/2054963183', 'name': 'W. Dai', 'affiliations': [], 'homepage': None, 'paperCount': 14, 'citationCount': 47, 'hIndex': 3}, {'authorId': '3806974', 'url': 'https://www.semanticscholar.org/author/3806974', 'name': 'S. Ying', 'affiliations': [], 'homepage': None, 'paperCount': 163, 'citationCount': 4605, 'hIndex': 32}, {'authorId': '2107688532', 'url': 'https://www.semanticscholar.org/author/2107688532', 'name': 'Y. Dai', 'affiliations': [], 'homepage': None, 'paperCount': 22, 'citationCount': 280, 'hIndex': 7}]",3e924bb0-3731-4d92-9423-2cc0388e6d82,2019
27794840,"[{'authorId': '2630510', 'url': 'https://www.semanticscholar.org/author/2630510', 'name': 'D. Lindberg', 'affiliations': [], 'homepage': None, 'paperCount': 163, 'citationCount': 4644, 'hIndex': 25}]",,1986
27667270,"[{'authorId': '35185410', 'url': 'https://www.semanticscholar.org/author/35185410', 'name': 'R. Andersen', 'affiliations': [], 'homepage': None, 'paperCount': 99, 'citationCount': 7464, 'hIndex': 49}, {'authorId': '88272605', 'url': 'https://www.semanticscholar.org/author/88272605', 'name': 'B. Sæther', 'affiliations': [], 'homepage': None, 'paperCount': 289, 'citationCount': 16065, 'hIndex': 70}, {'authorId': '4086458', 'url': 'https://www.semanticscholar.org/author/4086458', 'name': 'H. C. Pedersen', 'affiliations': [], 'homepage': None, 'paperCount': 49, 'citationCount': 2370, 'hIndex': 23}]",3c26139d-3b45-4ab8-97d3-059246312705,2004
27588600,"[{'authorId': '15986786', 'url': 'https://www.semanticscholar.org/author/15986786', 'name': 'A. Marroccoli', 'affiliations': [], 'homepage': None, 'paperCount': 1, 'citationCount': 0, 'hIndex': 0}]",8e374fd7-664a-498f-9dc8-f0e1a9f358dd,1977
27351979,"[{'authorId': '7021738', 'url': 'https://www.semanticscholar.org/author/7021738', 'name': 'M. Bernheim', 'affiliations': [], 'homepage': None, 'paperCount': 132, 'citationCount': 1287, 'hIndex': 17}]",d1d486ec-2c87-4721-8bca-f399625d18e5,1967
27393318,"[{'authorId': '145664618', 'url': 'https://www.semanticscholar.org/author/145664618', 'name': 'Shivnath Babu', 'affiliations': [], 'homepage': None, 'paperCount': 148, 'citationCount': 13681, 'hIndex': 44}, {'authorId': '1799376', 'url': 'https://www.semanticscholar.org/author/1799376', 'name': 'G. Graefe', 'affiliations': [], 'homepage': None, 'paperCount': 231, 'citationCount': 9800, 'hIndex': 46}, {'authorId': '2121201', 'url': 'https://www.semanticscholar.org/author/2121201', 'name': 'Harumi A. Kuno', 'affiliations': [], 'homepage': None, 'paperCount': 83, 'citationCount': 4499, 'hIndex': 25}]",40e81dcb-c8bc-42c8-b1b4-fce115b774e3,2012
26043138,"[{'authorId': '2517066', 'url': 'https://www.semanticscholar.org/author/2517066', 'name': 'Z. Ullah', 'affiliations': [], 'homepage': None, 'paperCount': 48, 'citationCount': 160, 'hIndex': 7}, {'authorId': '15130993', 'url': 'https://www.semanticscholar.org/author/15130993', 'name': 'Z. Rehman', 'affiliations': [], 'homepage': None, 'paperCount': 45, 'citationCount': 583, 'hIndex': 16}, {'authorId': '144383185', 'url': 'https://www.semanticscholar.org/author/144383185', 'name': 'Yulong Yin', 'affiliations': [], 'homepage': None, 'paperCount': 702, 'citationCount': 25814, 'hIndex': 75}, {'authorId': '3483687', 'url': 'https://www.semanticscholar.org/author/3483687', 'name': 'H. Stein', 'affiliations': [], 'homepage': None, 'paperCount': 575, 'citationCount': 11156, 'hIndex': 56}, {'authorId': '145418682', 'url': 'https://www.semanticscholar.org/author/145418682', 'name': 'Z. Hayat', 'affiliations': [], 'homepage': None, 'paperCount': 94, 'citationCount': 883, 'hIndex': 17}, {'authorId': '6569655', 'url': 'https://www.semanticscholar.org/author/6569655', 'name': 'G. Ahmed', 'affiliations': [], 'homepage': None, 'paperCount': 4, 'citationCount': 30, 'hIndex': 2}, {'authorId': '29343648', 'url': 'https://www.semanticscholar.org/author/29343648', 'name': 'M. Nisa', 'affiliations': [], 'homepage': None, 'paperCount': 65, 'citationCount': 946, 'hIndex': 16}, {'authorId': '49838098', 'url': 'https://www.semanticscholar.org/author/49838098', 'name': 'M. Akhtar', 'affiliations': [], 'homepage': None, 'paperCount': 128, 'citationCount': 2994, 'hIndex': 30}, {'authorId': '29749770', 'url': 'https://www.semanticscholar.org/author/29749770', 'name': 'M. Sarwar', 'affiliations': [], 'homepage': None, 'paperCount': 148, 'citationCount': 2642, 'hIndex': 27}]",db54ab8b-cf08-4de6-b69a-0fae0f4ab997,2017
