paper,topic,fake
237918704,Political Science,0
253910327,Medicine,0
252088527,Medicine,0
245704099,Medicine,0
238732501,Psychology,0
235504363,Business,0
232420539,Medicine,0
232481864,Medicine,0
220653837,Medicine,0
211135320,Medicine,0
210133143,Medicine,0
25070184,Medicine,0
30237709,Medicine,0
30469375,Computer Science,0
838357,Medicine,0
5178006,Medicine,0
222170283,Medicine,0
224824449,Medicine,0
81141961,Medicine,0
51891915,Medicine,0
252559125,Computer Science,0
257391576,Medicine,0
256055437,Medicine,0
254843736,Medicine,0
254618047,Medicine,0
253733109,Medicine,0
253733270,Medicine,0
253599142,Medicine,0
253260436,Medicine,0
252871342,Medicine,0
252160719,Medicine,0
251759261,Medicine,0
250968655,Medicine,0
250030824,Medicine,0
249137714,Medicine,0
249216314,Medicine,0
238217077,Medicine,0
236944624,Medicine,0
235786220,Medicine,0
233036005,Medicine,0
219756863,Chemistry,0
255801366,Medicine,0
246424070,Medicine,0
240538472,Economics,0
237555230,Medicine,0
237649092,Business,0
237854343,Geography,0
236275846,Environmental Science,0
233954382,Business,0
229310668,Materials Science,0
199541131,Computer Science,0
117244517,Computer Science,0
44335137,Computer Science,0
45797271,Computer Science,0
245978243,Medicine,0
225106017,Chemistry,0
222310485,Biology,0
202124062,Computer Science,0
53235550,Medicine,0
3357966,Medicine,0
24075216,Biology,0
21768703,Computer Science,0
151007546,Psychology,0
7606117,Medicine,0
255594077,Medicine,0
254106586,Medicine,0
201804833,Chemistry,0
196661069,Biology,0
202074035,Biology,0
19123310,Medicine,0
21922849,Medicine,0
12213033,Medicine,0
38205865,Medicine,0
46328069,Medicine,0
43255550,Medicine,0
24716241,Medicine,0
39932985,Medicine,0
10391899,Medicine,0
41014254,Medicine,0
33544779,Computer Science,0
237771748,Chemistry,0
235302001,Medicine,0
222155048,Medicine,0
212664341,Biology,0
218679825,Medicine,0
150075967,Biology,0
202554270,Biology,0
30736075,Medicine,0
23892886,Medicine,0
28249734,Medicine,0
21797404,Medicine,0
44589100,Medicine,0
41592564,Medicine,0
38940159,Medicine,0
23655657,Medicine,0
20865445,Medicine,0
30773486,Medicine,0
35090790,Medicine,0
22947616,Physics,0
14107426,Computer Science,0
2820054,Physics,0
269641,Medicine,0
250200391,Medicine,0
247061312,Medicine,0
233190458,Medicine,0
230576868,Chemistry,0
229325758,Biology,0
219315083,Medicine,0
25112359,Medicine,0
254222970,Medicine,0
247060790,Medicine,0
238696291,Economics,0
199539829,Medicine,0
147707615,Medicine,0
244507978,Computer Science,0
219183295,Computer Science,0
214215024,Computer Science,0
199582604,Computer Science,0
70309317,Computer Science,0
69242822,Computer Science,0
44223300,Computer Science,0
10376612,Computer Science,0
16966041,Computer Science,0
17369646,Computer Science,0
57393911,Medicine,0
418790,Medicine,0
33924073,Medicine,0
46042716,Medicine,0
42493964,Medicine,0
38116957,Medicine,0
38277844,Medicine,0
30198692,Medicine,0
28108359,Medicine,0
23691389,Medicine,0
34557450,Medicine,0
20271940,Medicine,0
220335764,Medicine,0
12676170,Medicine,0
11650332,Medicine,0
5741404,Medicine,0
16229449,Medicine,0
9767398,Medicine,0
42602087,Medicine,0
234225486,Materials Science,0
55046107,Physics,0
9461746,Medicine,0
30036685,Medicine,0
250503320,Physics,0
256617947,Medicine,0
251032969,Medicine,0
237280867,Medicine,0
237434595,Medicine,0
207937592,Medicine,0
247382728,Computer Science,0
42741574,Medicine,0
206312284,Medicine,0
253317972,Medicine,0
250731978,Medicine,0
231899233,Medicine,0
236657808,Chemistry,0
226951320,Medicine,0
220877292,Medicine,0
208035909,Medicine,0
203606383,Chemistry,0
104330173,Chemistry,0
59224714,Materials Science,0
104447883,Chemistry,0
104840023,Medicine,0
52969331,Materials Science,0
206120044,Medicine,0
19385313,Medicine,0
956590,Medicine,0
250312573,Medicine,0
247383739,Medicine,0
227077222,Medicine,0
214704490,Biology,0
253303782,Medicine,0
248832365,Medicine,0
248554191,Medicine,0
246943066,Medicine,0
218980655,Psychology,0
210998487,Geography,0
207946925,Geography,0
248415456,Medicine,0
246090176,Medicine,0
221238120,Medicine,0
239466779,Medicine,0
233433006,Medicine,0
231391456,Medicine,0
256457958,Medicine,0
255633001,Medicine,0
247936955,Medicine,0
247453478,Medicine,0
247791077,Medicine,0
235766779,Medicine,0
245191708,Medicine,0
245438579,Medicine,0
235346691,Medicine,0
237215206,Medicine,0
232368960,Medicine,0
232160763,Medicine,0
244341175,Medicine,0
227121487,Psychology,0
226254927,Medicine,0
257251800,Medicine,0
256192520,Medicine,0
253655112,Medicine,0
253507109,Medicine,0
252889171,Medicine,0
249823166,Medicine,0
248315043,Medicine,0
247452269,Medicine,0
247483720,Medicine,0
246859309,Medicine,0
237593703,Medicine,0
247937360,Medicine,0
210912377,Chemistry,0
58576718,Medicine,0
35366931,Medicine,0
30262275,Medicine,0
412209,Medicine,0
14525249,Medicine,0
21642616,Medicine,0
30676679,Medicine,0
10846657,Medicine,0
28995340,Medicine,0
8889986,Medicine,0
36080552,Medicine,0
162482262,History,0
131367106,Geology,0
130284595,Geography,0
242173462,Computer Science,0
233197383,Computer Science,0
233197634,Computer Science,0
233198183,Computer Science,0
225205829,Computer Science,0
231848589,Computer Science,0
229373825,Computer Science,0
230617529,Materials Science,0
225324935,Materials Science,0
182144924,Chemistry,0
139380783,Physics,0
12790253,Computer Science,0
256231760,Computer Science,0
251286826,Computer Science,0
245955363,Computer Science,0
245132841,Computer Science,0
238943474,Computer Science,0
221861879,Materials Science,0
235472787,Medicine,0
123240508,Engineering,0
128755887,Geology,0
233960650,Computer Science,0
238091163,Computer Science,0
224844362,Computer Science,0
17103224,Computer Science,0
7680134,Mathematics,0
251553501,Medicine,0
229720366,Medicine,0
234683876,Medicine,0
231911145,Computer Science,0
231653388,Medicine,0
231590362,Medicine,0
220435097,Medicine,0
219702453,Medicine,0
221504012,Medicine,0
39099601,Medicine,0
39604571,Medicine,0
42813126,Medicine,0
25795581,Medicine,0
12882627,Biology,0
31094297,Medicine,0
32742955,Medicine,0
33653439,Medicine,0
43322655,Medicine,0
4446883,Biology,0
6805256,Medicine,0
235240320,Medicine,0
1088236,Medicine,0
44638507,Medicine,0
37134779,Medicine,0
211063778,Medicine,0
8691489,Medicine,0
28918925,Medicine,0
6952991,Medicine,0
20488246,Medicine,0
205221972,Medicine,0
21253154,Medicine,0
24758983,Medicine,0
12545836,Medicine,0
30757178,Medicine,0
22186516,Medicine,0
5664409,Medicine,0
220373228,Medicine,0
214535261,Medicine,0
40320217,Biology,0
3357237,Medicine,0
9564277,Medicine,0
1121576,Medicine,0
3346033,Medicine,0
3337918,Medicine,0
19115550,Medicine,0
25851476,Medicine,0
3334939,Medicine,0
3376721,Medicine,0
153314391,Medicine,0
36198884,Medicine,0
253332332,Medicine,0
253120495,Medicine,0
251654690,Medicine,0
249434715,Medicine,0
245707563,Medicine,0
238354490,Medicine,0
235709570,Medicine,0
232142336,Medicine,0
232159384,Medicine,0
227255620,Medicine,0
220407399,Medicine,0
219919620,Biology,0
220372243,Medicine,0
214719904,Medicine,0
231594020,Medicine,0
140317321,Medicine,0
59250436,Medicine,0
150798397,Sociology,0
216504823,Materials Science,0
27672896,Medicine,0
24606907,Medicine,0
55824540,Chemistry,0
704350,Chemistry,0
22984400,Medicine,0
9875256,Medicine,0
221716819,Computer Science,0
221917805,Computer Science,0
198964698,Computer Science,0
56717528,Computer Science,0
160011378,Computer Science,0
255594512,Medicine,0
250128503,Medicine,0
239013326,Medicine,0
237510271,Medicine,0
252129288,Medicine,0
255415365,Medicine,0
253789520,Medicine,0
247254450,Medicine,0
246316065,Computer Science,0
244256742,Materials Science,0
238208066,Computer Science,0
237706680,Computer Science,0
237671599,Computer Science,0
237366476,Computer Science,0
236922023,Computer Science,0
208061624,Biology,0
202855158,Biology,0
57192956,Biology,0
92415536,Biology,0
90038888,Biology,0
196627526,Geography,0
222089394,Medicine,0
22613333,Medicine,0
13980768,Medicine,0
30318639,Medicine,0
231611382,Medicine,0
57202,Medicine,0
140602632,Geography,0
162627129,History,0
162396957,History,0
238773012,Medicine,0
235676498,Medicine,0
237080841,Medicine,0
245569090,Medicine,0
53077198,Engineering,0
253859457,Medicine,0
235722589,Medicine,0
234031445,Psychology,0
207844734,Medicine,0
115600573,Business,0
25933489,Medicine,0
25950551,Medicine,0
1193385,Psychology,0
225126133,Psychology,0
56149730,Psychology,0
9358571,Medicine,0
22757686,Medicine,0
219620587,Medicine,0
22766649,Chemistry,0
45786733,Engineering,0
22209208,Computer Science,0
12156798,Medicine,0
7109680,Medicine,0
20105679,Medicine,0
205524549,Medicine,0
38444411,Biology,0
237835989,Geography,0
234400961,Business,0
159333793,Business,0
16245702,Medicine,0
24706351,Medicine,0
21960017,Medicine,0
32773234,Medicine,0
59944215,Medicine,0
7365909,Medicine,0
44671109,Medicine,0
14665258,Engineering,0
46058983,Computer Science,0
6478552,Engineering,0
5700347,Engineering,0
25182370,Computer Science,0
251664915,Medicine,0
237967303,Medicine,0
189817246,Medicine,0
155103173,Medicine,0
196527685,Medicine,0
51706858,Medicine,0
23708435,Medicine,0
242508687,Computer Science,0
56717404,Computer Science,0
18636956,Mathematics,0
14479664,Computer Science,0
25623906,Computer Science,0
45253110,Mathematics,0
23104211,Medicine,0
45568517,Medicine,0
33616326,Medicine,0
13349348,Chemistry,0
2033905,Medicine,0
205488451,Medicine,0
13797610,Medicine,0
1120424,Chemistry,0
89154031,Biology,0
11232049,Medicine,0
25857169,Biology,0
255778102,Computer Science,0
249137599,Computer Science,0
250004578,Computer Science,0
253629113,Computer Science,0
251030683,Computer Science,0
27338751,Medicine,0
222237761,Chemistry,0
229720491,Medicine,0
227239700,Medicine,0
257389091,Medicine,0
256964552,Medicine,0
251936305,Medicine,0
249869226,Medicine,0
248695898,Medicine,0
248695816,Medicine,0
246032464,Medicine,0
239025788,Medicine,0
233425116,Medicine,0
232766689,Medicine,0
221307965,Geography,0
211689851,Computer Science,0
245947088,Medicine,0
233716855,Medicine,0
227168585,Medicine,0
226964215,Medicine,0
195871713,Medicine,0
195880895,Medicine,0
125341109,Computer Science,0
42351921,Medicine,0
31889572,Medicine,0
33966847,Biology,0
34233155,Biology,0
10102218,Medicine,0
31961744,Medicine,0
3096243,Medicine,0
16200019,Medicine,0
15067386,Biology,0
30391642,Medicine,0
34585833,Medicine,0
41012649,Medicine,0
43804678,Medicine,0
18199564,Computer Science,0
57375024,Mathematics,0
9488862,Medicine,0
25428147,Chemistry,0
2433012,Medicine,0
9783647,Materials Science,0
31316876,Medicine,0
108371569,Computer Science,0
34802179,Business,0
45243606,Computer Science,0
24544404,Computer Science,0
13907589,Computer Science,0
14418261,Computer Science,0
3282321,Computer Science,0
3271383,Computer Science,0
12984439,Computer Science,0
18349652,Computer Science,0
16166606,Computer Science,0
3484844,Medicine,0
8143005,Medicine,0
255597155,Computer Science,0
249018135,Computer Science,0
246431138,Computer Science,0
249064023,Medicine,0
247152116,Medicine,0
7094521,Medicine,0
29685222,Biology,0
14711347,Medicine,0
219410769,Data Processing,1
219410769,Indexing,1
219410769,Data Querying,1
219410769,Indexing,1
219410769,Data Modeling,1
225065627,Data Querying,1
209854486,,1
239681712,Big Data,1
239681712,Indexing,1
214506937,Data Storage,1
232355224,Data Modeling,1
232355224,Indexing,1
232355224,Indexing,1
232355224,Data Management,1
232355224,Big Data,1
24987797,,1
215948829,,1
2178047,,1
36606960,Data Management,1
36606960,Big Data,1
36606960,Data Storage,1
36606960,Data Management,1
36606960,Data Querying,1
36606960,Data Management,1
207393142,Data Management,1
207393142,Data Processing,1
226193169,,1
221076729,Big Data,1
221076729,Data Processing,1
221076729,Data Management,1
221076729,Big Data,1
221076729,Data Querying,1
221076729,Indexing,1
203609021,,1
210934409,,1
85151175,Data Storage,1
85151175,Data Processing,1
85151175,Data Management,1
85151175,Data Management,1
85151175,Data Modeling,1
85151175,Indexing,1
75791365,Data Modeling,1
237561766,,1
46711191,Big Data,1
52298978,Data Storage,1
22238059,,1
14154659,Data Storage,1
14154659,Data Processing,1
14154659,Data Processing,1
14154659,Data Processing,1
14154659,Data Modeling,1
14151582,Big Data,1
14151582,Indexing,1
21990474,Indexing,1
21990474,Data Storage,1
19653587,Data Processing,1
19904885,Indexing,1
1237780,Data Management,1
1237780,Data Management,1
1237780,Indexing,1
1237780,Indexing,1
19966672,,1
7211558,Data Modeling,1
7211558,Data Modeling,1
10241326,,1
8160903,,1
238814041,Data Processing,1
201836678,,1
27794840,,1
27667270,Data Processing,1
27667270,Data Processing,1
27667270,Data Processing,1
27667270,Big Data,1
27667270,Data Processing,1
27667270,Data Modeling,1
27588600,,1
27351979,,1
27393318,Data Querying,1
27393318,Data Storage,1
26043138,,1
33402859,,1
31929237,Indexing,1
31929237,Data Querying,1
31001449,,1
30640608,Indexing,1
30640608,Data Storage,1
30333216,Indexing,1
30333216,Data Processing,1
30333216,Data Storage,1
30333216,Big Data,1
30333216,Data Storage,1
28679281,,1
46393313,Data Modeling,1
25632366,,1
215726754,Data Management,1
215726754,Data Modeling,1
215726754,Data Processing,1
215726754,Big Data,1
195064109,Data Querying,1
23917679,,1
14119063,Indexing,1
14119063,Data Processing,1
14119063,Data Storage,1
14119063,Data Processing,1
159373645,Big Data,1
4733413,Data Storage,1
4733413,Indexing,1
45069334,,1
29570261,Data Storage,1
29570261,Data Processing,1
214338841,,1
3174114,Data Storage,1
3174114,Big Data,1
33126243,Data Management,1
201968370,Data Storage,1
10650788,Data Modeling,1
10650788,Data Storage,1
10650788,Big Data,1
10650788,Data Querying,1
26354945,,1
41273089,,1
232058337,Data Querying,1
39213875,,1
26500411,,1
39636218,,1
6492721,,1
29223630,Data Management,1
29223630,Data Querying,1
29223630,Data Processing,1
13292006,,1
37357946,,1
21567508,,1
19262418,,1
219106163,Data Management,1
219106163,Data Querying,1
199538811,Data Modeling,1
1881617,,1
219429328,,1
239662903,,1
36383341,,1
89700450,,1
45538643,Data Modeling,1
45538643,Data Modeling,1
45538643,Data Storage,1
52127432,Big Data,1
247462237,,1
155335833,,1
211048597,Data Modeling,1
211048597,Indexing,1
211048597,Indexing,1
211048597,Indexing,1
211048597,Data Storage,1
211048597,Data Processing,1
222125022,,1
222826426,Big Data,1
220772065,Indexing,1
220772065,Big Data,1
220772065,Indexing,1
235074594,,1
191680767,Indexing,1
191680767,Data Processing,1
222420218,Data Management,1
222420218,Data Management,1
222420218,Data Storage,1
222420218,Indexing,1
222420218,Indexing,1
7900692,,1
237316329,Indexing,1
237316329,Data Modeling,1
128487683,Data Management,1
212641146,,1
199819908,,1
27270547,Data Processing,1
27270547,Data Storage,1
27270547,Data Modeling,1
209335699,,1
99909081,Data Processing,1
99909081,Indexing,1
99909081,Data Processing,1
99909081,Data Management,1
17729510,Big Data,1
17729510,Data Storage,1
17729510,Big Data,1
235172099,Big Data,1
227122767,,1
188597569,Big Data,1
198304874,Data Modeling,1
198304874,Indexing,1
198304874,Data Storage,1
198304874,Big Data,1
198304874,Data Querying,1
196561263,Indexing,1
166756952,,1
145974745,,1
137174721,Data Modeling,1
137174721,Data Storage,1
128805614,Data Modeling,1
128805614,Indexing,1
128805614,Data Storage,1
128805614,Data Querying,1
128805614,Data Management,1
127985451,,1
60604879,,1
220284888,Big Data,1
54130071,Big Data,1
54634721,,1
41359629,Data Querying,1
51708180,Indexing,1
51708180,Data Querying,1
51708180,Data Modeling,1
51708180,Data Storage,1
51708180,Data Management,1
39514587,,1
45323370,,1
45265900,Data Querying,1
45265900,Data Querying,1
43862558,Data Management,1
43862558,Indexing,1
43862558,Data Storage,1
43862558,Data Management,1
43862558,Big Data,1
43862558,Data Processing,1
43103677,Big Data,1
42488828,Indexing,1
42488828,Data Management,1
22739462,,1
20219770,Big Data,1
20219770,Data Querying,1
19266356,,1
37325739,Data Querying,1
36939482,,1
31867302,,1
32567775,Data Storage,1
12397688,Data Querying,1
12397688,Data Modeling,1
12397688,Data Management,1
12397688,Big Data,1
12397688,Indexing,1
12397688,Data Management,1
9203179,,1
3351464,,1
35412301,,1
52046489,,1
233411911,Big Data,1
233411911,Data Modeling,1
233411911,Data Modeling,1
233411911,Data Management,1
233411911,Big Data,1
233411911,Indexing,1
199170917,,1
27363741,,1
21211324,Indexing,1
21211324,Data Processing,1
27294992,Data Modeling,1
27294992,Data Querying,1
39405744,,1
43879678,Data Processing,1
43879678,Big Data,1
43879678,Indexing,1
15230445,Data Storage,1
208539234,,1
226206381,Data Storage,1
247978207,,1
245262544,,1
203146651,Data Management,1
203146651,Data Querying,1
203146651,Data Processing,1
118090602,Data Management,1
118090602,Data Querying,1
118090602,Data Processing,1
118090602,Data Processing,1
118090602,Data Management,1
118090602,Data Management,1
88851991,,1
10259438,Indexing,1
31481304,,1
159359677,Data Modeling,1
